time,ax,ay,az,aMagnitude,Activity
320,-0.013633013,0.007612944,0.002217293,0.01577125,NO_ACTIVITY
321,-0.022830069,0.003214598,-0.027241707,0.035688321,NO_ACTIVITY
322,-0.008022487,-0.003641844,0.003923416,0.009644507,NO_ACTIVITY
323,0.033439338,-0.022698641,-0.023438454,0.046720218,NO_ACTIVITY
324,0.010357052,0.001240015,-0.008981705,0.013765071,NO_ACTIVITY
325,0.003820896,-0.002367973,-0.012454987,0.013241346,NO_ACTIVITY
326,-0.009854257,-0.001297474,0.014964104,0.017964248,NO_ACTIVITY
327,-0.003375173,-0.016889811,0.030275345,0.034831796,NO_ACTIVITY
328,0.042076498,0.020910978,0.018105507,0.050353849,NO_ACTIVITY
329,0.020772755,-0.017539978,0.019116402,0.033235448,NO_ACTIVITY
330,0.012808025,0.006096363,0.028429031,0.031771386,NO_ACTIVITY
331,0.012187988,-0.008579254,-0.02650547,0.030408726,NO_ACTIVITY
332,0.027125299,0.018545866,-0.003760338,0.033073723,NO_ACTIVITY
333,0.013262838,-0.008589029,-0.003249168,0.016131689,NO_ACTIVITY
334,0.009679765,0.00026989,0.031030655,0.032506495,NO_ACTIVITY
335,0.009517103,-0.010872841,-0.005373001,0.015416325,NO_ACTIVITY
336,-0.003429621,-0.015372276,0.031973839,0.035642609,NO_ACTIVITY
337,-0.001912743,0.023610115,0.059850693,0.064367706,NO_ACTIVITY
338,-0.024107695,-0.016715527,0.053455353,0.060975934,NO_ACTIVITY
339,0.002770901,-0.003307343,-0.018234253,0.01873778,NO_ACTIVITY
340,-0.000430346,-0.014749527,-0.001378059,0.014820013,NO_ACTIVITY
341,0.00836727,-0.00943327,0.010591507,0.016467477,NO_ACTIVITY
342,0.000499755,-0.023252487,0.011748314,0.026056684,NO_ACTIVITY
343,0.014154375,0.003379583,0.001003265,0.01458679,NO_ACTIVITY
344,0.004959971,-0.029605865,-0.028650284,0.041496353,NO_ACTIVITY
345,0.014615864,-0.026655912,0.017976761,0.03531749,NO_ACTIVITY
346,0.000474244,-0.030906916,0.003627777,0.031122711,NO_ACTIVITY
347,0.017239451,-0.00661397,-0.031977654,0.036925785,NO_ACTIVITY
348,-0.015351593,0.010430336,0.024384499,0.030644202,NO_ACTIVITY
349,-0.001792371,-0.024152994,0.025346756,0.035057635,NO_ACTIVITY
350,0.003256142,-0.026290894,-0.004370689,0.026849888,NO_ACTIVITY
351,-0.030062318,-0.012955427,0.015872002,0.036380029,NO_ACTIVITY
